,id,description,tag_ids,user_id,billable,task_id,project_id,workspace_id,custom_field_values,type_my,kiosk_id,is_locked,time_interval_start,time_interval_end,time_interval_duration,hourly_rate_amount,hourly_rate_currency,cost_rate_amount,cost_rate_currency
29,6825b204eff71737a29b5afc,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-15 07:00:00,2025-05-15 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
30,6825b20383657872ee2276cf,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-14 07:00:00,2025-05-14 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
31,6825b2029f60353df1ec8235,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-13 07:00:00,2025-05-13 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
32,6825b200a1956c686d337f0c,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-12 07:00:00,2025-05-12 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
33,6825b1f683657872ee22756b,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-09 07:00:00,2025-05-09 11:00:00,0 days 04:00:00,0.0,ZAR,0.0,ZAR
34,6825b1f3a1956c686d337dd7,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-08 07:00:00,2025-05-08 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
35,6825b1f219fc7d2c65d959e1,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-07 07:00:00,2025-05-07 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
36,6825b1f19f60353df1ec80a3,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-06 07:00:00,2025-05-06 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
37,6825b1f0be16ae2e7d555b0c,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-05 07:00:00,2025-05-05 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
38,68128a3d68b29c3ba46f8d39,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-02 07:00:00,2025-05-02 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
39,68128a3ab2fa1e03b79fb423,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-04-30 07:00:00,2025-04-30 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
40,68128a3865a9a82603239a1e,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-04-29 07:00:00,2025-04-29 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
41,68095a27b04a0f7090cb51b3,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-04-25 07:00:00,2025-04-25 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
42,68095a2683bf7535e6f01712,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-04-24 07:00:00,2025-04-24 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
43,68095a25f9a99102e927f204,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-04-23 07:00:00,2025-04-23 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
